id,type,URL,rgb_color
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_19/c9212b40_85e0_4cef_a1e3_a3b8013e9710/mid_00325847_001.jpg,"rgb(192, 192, 192): 0.20; rgb(128, 128, 160): 0.14; rgb(224, 224, 224): 0.13; rgb(160, 160, 192): 0.12; rgb(128, 128, 128): 0.11; rgb(96, 96, 96): 0.11; rgb(160, 160, 160): 0.10; rgb(96, 96, 128): 0.09"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_20/b8b6cc2b_f560_43cb_8127_a3ba0159fa1b/mid_00262157_001.jpg,"rgb(0, 0, 0): 0.30; rgb(224, 224, 224): 0.22; rgb(192, 192, 192): 0.14; rgb(128, 128, 160): 0.12; rgb(160, 160, 192): 0.11; rgb(192, 192, 224): 0.10"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/27bae42e_38fd_4b61_ba85_a3bb017a2793/mid_00387146_001.jpg,"rgb(192, 192, 192): 0.44; rgb(224, 224, 224): 0.16; rgb(160, 160, 192): 0.11; rgb(160, 160, 160): 0.10; rgb(192, 192, 224): 0.10; rgb(64, 96, 128): 0.09"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/dcdff4d5_387c_4484_b4c2_a3bb017aced0/mid_00387192_001.jpg,"rgb(224, 224, 224): 0.28; rgb(128, 96, 128): 0.23; rgb(192, 192, 224): 0.14; rgb(128, 128, 128): 0.13; rgb(192, 192, 192): 0.12; rgb(160, 160, 192): 0.10"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_23/7f08bca9_9488_465d_8c44_a3bb017b1a34/mid_00387378_001.jpg,"rgb(96, 96, 96): 0.34; rgb(64, 64, 64): 0.31; rgb(64, 64, 96): 0.14; rgb(96, 64, 96): 0.11; rgb(0, 32, 64): 0.10"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_19/04cc8462_fd9f_4ae0_99cd_a3b8013e9671/mid_00325800_001.jpg,"rgb(192, 192, 192): 0.28; rgb(64, 64, 96): 0.16; rgb(32, 64, 96): 0.13; rgb(128, 128, 160): 0.12; rgb(32, 32, 64): 0.12; rgb(160, 160, 192): 0.12; rgb(224, 224, 224): 0.08"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/4aba4ea1_9ae7_4b7c_90a5_a3ba0165161a/mid_00265019_001.jpg,"rgb(192, 192, 192): 0.23; rgb(0, 32, 64): 0.15; rgb(32, 32, 64): 0.13; rgb(224, 224, 224): 0.11; rgb(0, 0, 32): 0.10; rgb(96, 96, 128): 0.10; rgb(160, 160, 192): 0.09; rgb(128, 128, 160): 0.09"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_20/88f3de61_c9e4_4d32_98b4_a3ba015685b7/mid_00261125_001.jpg,"rgb(192, 192, 192): 0.16; rgb(96, 96, 128): 0.15; rgb(128, 128, 160): 0.13; rgb(64, 64, 96): 0.12; rgb(160, 160, 192): 0.11; rgb(160, 192, 192): 0.10; rgb(160, 160, 160): 0.09; rgb(96, 96, 96): 0.07; rgb(128, 128, 128): 0.07"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/f7fcc36d_34c8_47bc_83b6_a3bb017a36a8/mid_00387105_001.jpg,"rgb(64, 64, 64): 0.40; rgb(224, 224, 224): 0.14; rgb(64, 32, 64): 0.14; rgb(192, 192, 192): 0.13; rgb(192, 224, 224): 0.10; rgb(192, 192, 224): 0.09"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_14/280bec2e_8279_4478_b474_a3b600ee13ce/mid_00014301_001.jpg,"rgb(96, 128, 160): 0.30; rgb(160, 192, 192): 0.28; rgb(128, 160, 192): 0.22; rgb(64, 96, 128): 0.20"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/46e1a8c4_68e7_477e_8aa7_a3bc0069c68c/mid_00389608_001.jpg,"rgb(64, 64, 64): 0.40; rgb(64, 64, 96): 0.33; rgb(96, 96, 96): 0.20; rgb(96, 64, 96): 0.08"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/370c511c_43e2_4a78_8ed3_a3bb017aafc5/mid_00387229_001.jpg,"rgb(96, 96, 96): 0.46; rgb(64, 64, 96): 0.24; rgb(96, 96, 128): 0.18; rgb(64, 64, 64): 0.11"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_23/5d7d0851_964c_442b_866b_a3bb017b3f63/mid_00387346_001.jpg,"rgb(192, 192, 192): 0.21; rgb(192, 192, 224): 0.18; rgb(160, 160, 192): 0.17; rgb(224, 224, 224): 0.16; rgb(160, 192, 192): 0.15; rgb(192, 224, 224): 0.14"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/f568d8e9_fda5_43b5_a201_a3bc0067f279/mid_00389104_001.jpg,"rgb(64, 64, 64): 1.00"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/376214fa_b3b1_442b_8449_a3bc006a209e/mid_00389651_001.jpg,"rgb(64, 64, 96): 0.38; rgb(64, 64, 64): 0.32; rgb(96, 96, 96): 0.30"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/20b228be_70d2_491a_8ed5_a3ba016a543d/mid_00266379_001.jpg,"rgb(64, 64, 96): 0.22; rgb(96, 96, 128): 0.18; rgb(224, 224, 224): 0.16; rgb(192, 192, 192): 0.12; rgb(32, 32, 64): 0.11; rgb(128, 128, 160): 0.11; rgb(64, 96, 128): 0.09"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/570b37f6_5d44_4bac_af2e_a3bc0069a619/mid_00389592_001.jpg,"rgb(96, 96, 96): 0.51; rgb(64, 64, 96): 0.22; rgb(64, 96, 96): 0.19; rgb(64, 64, 64): 0.08"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_22/9b60d6e2_33e5_4a98_b1c6_a3ba016d63c6/mid_00267319_001.jpg,"rgb(32, 32, 64): 0.14; rgb(192, 192, 192): 0.14; rgb(32, 64, 96): 0.13; rgb(160, 160, 192): 0.13; rgb(224, 224, 224): 0.13; rgb(128, 128, 160): 0.12; rgb(96, 96, 128): 0.11; rgb(64, 96, 128): 0.11"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/a7e8a3e2_7fb6_4d4a_bd4a_a3bc0068289b/mid_00389027_001.jpg,"rgb(96, 96, 128): 0.68; rgb(96, 96, 96): 0.22; rgb(128, 128, 128): 0.11"
